================ Training Loss (Mon Mar 10 16:41:22 2025) ================
(epoch: 54, iters: 150, time: 0.080, data: 0.002) D_A: 0.262 G_A: 0.071 cycle_A: 0.661 idt_A: 0.341 D_B: 0.225 G_B: 0.344 cycle_B: 0.812 idt_B: 0.303 
(epoch: 55, iters: 100, time: 0.083, data: 0.235) D_A: 0.345 G_A: 0.493 cycle_A: 1.319 idt_A: 0.364 D_B: 0.240 G_B: 0.319 cycle_B: 0.837 idt_B: 0.670 
(epoch: 56, iters: 50, time: 0.084, data: 0.002) D_A: 0.269 G_A: 0.370 cycle_A: 0.617 idt_A: 0.465 D_B: 0.203 G_B: 0.189 cycle_B: 1.049 idt_B: 0.242 
(epoch: 56, iters: 150, time: 0.553, data: 0.001) D_A: 0.190 G_A: 0.185 cycle_A: 0.800 idt_A: 0.287 D_B: 0.327 G_B: 0.095 cycle_B: 0.836 idt_B: 0.413 
(epoch: 57, iters: 100, time: 0.080, data: 0.231) D_A: 0.160 G_A: 0.431 cycle_A: 0.889 idt_A: 0.678 D_B: 0.157 G_B: 0.619 cycle_B: 1.388 idt_B: 0.386 
(epoch: 58, iters: 50, time: 0.080, data: 0.001) D_A: 0.187 G_A: 0.604 cycle_A: 1.122 idt_A: 0.281 D_B: 0.338 G_B: 0.418 cycle_B: 0.625 idt_B: 0.529 
(epoch: 58, iters: 150, time: 0.081, data: 0.001) D_A: 0.188 G_A: 0.303 cycle_A: 0.636 idt_A: 0.582 D_B: 0.222 G_B: 0.407 cycle_B: 1.199 idt_B: 0.255 
(epoch: 59, iters: 100, time: 0.627, data: 0.231) D_A: 0.240 G_A: 0.450 cycle_A: 1.164 idt_A: 0.458 D_B: 0.185 G_B: 0.146 cycle_B: 0.742 idt_B: 0.597 
(epoch: 60, iters: 50, time: 0.081, data: 0.001) D_A: 0.372 G_A: 0.953 cycle_A: 0.522 idt_A: 0.624 D_B: 0.141 G_B: 0.230 cycle_B: 1.125 idt_B: 0.247 
(epoch: 60, iters: 150, time: 0.080, data: 0.002) D_A: 0.114 G_A: 0.261 cycle_A: 0.581 idt_A: 1.561 D_B: 0.201 G_B: 0.321 cycle_B: 2.921 idt_B: 0.281 
(epoch: 61, iters: 100, time: 0.080, data: 0.249) D_A: 0.210 G_A: 0.276 cycle_A: 0.596 idt_A: 0.265 D_B: 0.213 G_B: 0.386 cycle_B: 0.562 idt_B: 0.294 
(epoch: 62, iters: 50, time: 0.712, data: 0.002) D_A: 0.300 G_A: 0.356 cycle_A: 0.626 idt_A: 0.741 D_B: 0.227 G_B: 0.392 cycle_B: 1.286 idt_B: 0.355 
(epoch: 62, iters: 150, time: 0.080, data: 0.002) D_A: 0.202 G_A: 0.511 cycle_A: 0.693 idt_A: 0.527 D_B: 0.349 G_B: 0.172 cycle_B: 1.220 idt_B: 0.317 
(epoch: 63, iters: 100, time: 0.080, data: 0.246) D_A: 0.259 G_A: 0.132 cycle_A: 0.515 idt_A: 0.284 D_B: 0.241 G_B: 0.426 cycle_B: 0.690 idt_B: 0.292 
(epoch: 64, iters: 50, time: 0.080, data: 0.001) D_A: 0.322 G_A: 0.348 cycle_A: 0.725 idt_A: 0.275 D_B: 0.326 G_B: 0.191 cycle_B: 0.616 idt_B: 0.267 
(epoch: 64, iters: 150, time: 0.833, data: 0.002) D_A: 0.201 G_A: 0.430 cycle_A: 0.780 idt_A: 0.270 D_B: 0.260 G_B: 0.278 cycle_B: 0.609 idt_B: 0.361 
